reach_id_v17b,group
41301105581,calibration
41301105591,calibration
41301105714,calibration
41301105781,validation
41301105821,validation
41301106471,calibration
41301106501,calibration
41301106595,calibration
41301200033,validation
41301200041,calibration
41301200081,calibration
41301200091,validation
41301200131,calibration
41301200161,calibration
41301200221,calibration
41301200231,calibration
41301200371,calibration
41301200411,calibration
41301200811,calibration
41301200871,validation
41301201031,validation
41301201051,calibration
41301300025,calibration
41301300055,validation
41301300173,calibration
41301300411,calibration
41301300823,validation
41301300831,calibration
41301300861,validation
41301300871,calibration
41301300881,calibration
41301300901,validation
41301300911,validation
41301300931,calibration
41301300951,validation
41301300971,validation
41301300991,calibration
41301301011,calibration
41301301021,calibration
41301301051,calibration
41301301091,calibration
41301301111,calibration
41301301141,validation
41301301171,calibration
41301301221,calibration
41301301521,calibration
41301301531,calibration
41301301541,calibration
41301301795,calibration
41301301815,calibration
41301301893,calibration
41301301901,validation
41301301951,calibration
41301302245,calibration
41301302255,calibration
41301302285,calibration
41301400131,calibration
41301400141,calibration
41301400151,calibration
41301400161,calibration
41301400181,calibration
41301400191,validation
41301400201,calibration
41301400211,calibration
41301400281,calibration
41301400374,calibration
41301500035,calibration
41301500061,validation
41301500081,validation
41301500101,validation
41301500121,calibration
41301500171,calibration
41301500181,validation
41301500191,calibration
41301500201,calibration
41301500211,validation
41301500291,calibration
41301500391,validation
41301600101,validation
41301600111,validation
41301600121,calibration
41301600141,validation
41301600161,calibration
41301600171,calibration
41301600181,calibration
41301600261,calibration
41301600281,calibration
41301600431,calibration
41301600471,calibration
41301600531,calibration
41301600584,calibration
41301600671,calibration
41301600721,validation
41301600761,calibration
41301600891,calibration
41301600961,calibration
41301601421,validation
41301700071,calibration
41301700261,validation
41301700271,validation
41301700391,validation
41301700481,calibration
41301700901,calibration
41301700955,calibration
41301701031,calibration
41301701051,calibration
41301701091,calibration
41301701111,calibration
41301701241,calibration
41301701261,calibration
41301701271,calibration
41301701291,calibration
41301701491,calibration
41301702471,calibration
41301702561,calibration
41301702571,calibration
41301900381,calibration
41304000103,calibration
41304000151,calibration
41304000481,calibration
41304000531,calibration
41305200025,validation
41305200045,calibration
41305200055,calibration
41305200131,calibration
41305500081,calibration
41305500131,calibration
41305500261,calibration
41305500365,validation
41305500445,calibration
41305500505,calibration
41305600071,calibration
41305600091,validation
41305600111,calibration
41305600131,calibration
41305600181,calibration
41305700471,calibration
41305700801,validation
41305700871,calibration
41305800033,calibration
41305800051,calibration
41305800121,calibration
41305800141,validation
41305800161,calibration
41305800201,calibration
44560200021,calibration
44560500021,calibration
44581100161,calibration
44581500031,calibration
44582100091,calibration
44582300061,validation
44582700101,calibration
44585000031,calibration
44587100021,calibration
56110400065,calibration
56194100041,calibration
56194100121,calibration
56196000041,calibration
56198100061,calibration
56220100051,validation
56220300051,calibration
56220300104,calibration
56220500021,calibration
56220600061,calibration
56220800051,calibration
56220800071,calibration
56220800191,validation
56220900071,validation
56220900231,calibration
56238100071,calibration
56238700041,validation
56239000295,calibration
56243000121,calibration
56243000151,validation
56252300071,calibration
56252300081,calibration
56252300121,calibration
56252300201,calibration
56252300251,calibration
56252600011,calibration
56252900011,validation
56252900034,calibration
56252900041,calibration
56252900061,validation
56252900091,validation
56253200091,validation
56253400176,calibration
56260500021,calibration
56274000064,calibration
56278300051,calibration
56281000041,calibration
56286000061,calibration
56292300024,calibration
56294100091,calibration
56298300051,calibration
56298800111,calibration
56298900131,calibration
56299400171,calibration
56299500361,calibration
56299500451,calibration
56299800071,calibration
56299800171,calibration
56299900051,calibration
56299900151,calibration
56310000051,validation
56310000081,validation
56310000171,calibration
56310000221,calibration
56310000271,calibration
56310000411,calibration
56310000491,calibration
56310000591,calibration
56310000601,calibration
56310000665,validation
56321000045,calibration
56322000041,calibration
56322000071,calibration
56323000041,calibration
56324200091,calibration
56324300091,validation
56324500016,validation
56325000121,calibration
56327000011,calibration
56327000101,calibration
56329000011,calibration
56330000071,validation
56330000091,validation
56330000154,validation
56341000141,validation
56341000261,calibration
56342100041,calibration
56342300011,calibration
56342300034,validation
56342300051,calibration
56343000051,calibration
56345000061,calibration
56345000151,calibration
56346000011,calibration
56360100084,calibration
56360100121,calibration
56360100201,calibration
56360300011,calibration
56360300064,calibration
56360400021,calibration
56360400081,calibration
56370200081,calibration
56370200111,calibration
56370200151,calibration
56370400051,validation
56370400081,calibration
56370400111,calibration
56370400121,validation
56380000171,validation
56380000241,calibration
56380000311,calibration
56391200101,validation
56391200211,validation
56391400101,calibration
56391600051,validation
56391800025,calibration
56392000091,calibration
56392000121,calibration
56392000131,calibration
56392000141,calibration
56392000161,calibration
56392000181,calibration
56392000261,calibration
56394000111,calibration
56394000141,calibration
56394000151,validation
56394000251,calibration
56394000331,calibration
56394000384,calibration
56394000481,calibration
56395000125,calibration
56395000135,validation
56395000161,calibration
56395000261,validation
56395000485,calibration
56396000041,validation
56396000081,calibration
56400100361,calibration
56400100441,validation
56410100151,calibration
56410100164,calibration
56410100191,calibration
56410500034,calibration
56410500071,calibration
56410500094,calibration
56410500161,calibration
56410500171,calibration
56410500181,calibration
56410500214,validation
56410500304,calibration
56410500311,calibration
56410500361,calibration
56410500461,calibration
56410500474,calibration
56410500481,calibration
56410500551,calibration
56410700041,calibration
56410700144,calibration
56410700161,calibration
56410800051,calibration
56410800171,calibration
56410800311,calibration
56410900034,calibration
56421000131,calibration
56421000214,calibration
56423000041,calibration
56424100041,calibration
56424200051,calibration
56424200071,calibration
56424200171,validation
56424200261,calibration
56424300091,calibration
56424500041,validation
56424500111,validation
56424500184,calibration
56424600041,validation
56424600111,calibration
56424600141,calibration
56424600151,validation
56424600201,calibration
56424600221,validation
56424600311,calibration
56424700041,calibration
56424700051,calibration
56424700131,calibration
56424700181,validation
56424800041,validation
56424900031,calibration
56424900131,calibration
56424900131,calibration
56424900241,calibration
56424900301,calibration
56425000051,calibration
56425000131,calibration
56426900134,calibration
56426900221,calibration
56426900281,calibration
56426900321,calibration
56427000051,calibration
56427000064,calibration
56427000134,validation
56427000251,calibration
56427000361,calibration
56427000404,calibration
56427000431,validation
56427000441,calibration
56427000474,calibration
56427000561,calibration
56427000671,calibration
56428000021,calibration
56429000011,validation
56429000081,calibration
56429000091,validation
56429000191,calibration
56429000211,calibration
56429000316,calibration
56430100131,calibration
56430100191,validation
56430100321,calibration
56430300011,validation
56430300251,validation
56430500081,calibration
56430900031,validation
56450000041,calibration
56450000061,calibration
56450000091,calibration
56450000121,calibration
56461000011,validation
56463000021,calibration
56463000111,calibration
56463000201,calibration
56463000261,validation
56463000311,calibration
56463000381,calibration
56463000451,calibration
56464300011,calibration
56464500021,validation
56464500031,calibration
56464500041,calibration
56464500051,calibration
56464500061,validation
56464500071,calibration
56464500101,calibration
56464500194,validation
56464500261,calibration
56464500361,calibration
56464700051,validation
56464700131,calibration
56464900101,calibration
56464900141,calibration
56465000021,calibration
56465000141,calibration
56467000051,calibration
56467000121,calibration
56467000161,calibration
56467000394,calibration
56467000401,calibration
56467000434,calibration
56467000451,calibration
56467000471,validation
56467000511,validation
