reach_id_v17b,station_id,basin_id,runoff_region,group,fold_id,fold_applicable,split_version,seed,n_valid_q,eligible_for_split,station_index,station_candidates_on_reach,source,river_name,lat,lon,facc,facc_bin,dist_out,network_position_bin,spatial_isolation_km,nearest_calibration_km,validation_strategy,validation_selection_order,n_calibration_gages,n_validation_gages,n_calibration_regions,gage_facc_coverage,gage_network_coverage,independent_validation_available,bias_eligible,bias_eligibility_stage,postfit_bias_checks_required,bias_ineligible_reason,identifiability_class,recommended_mode,svs_reach_variable
12553300084,U1H009,1255,125533,calibration,1,True,basin_stratified_v2,42,894,True,3104,1,DWS,Mkomazi,-30.13561,30.67372,4274.5028652021565,facc_q1,20240.208555795034,dist_q0,85.94466129846114,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553300234,U1H005,1255,125533,validation,1,True,basin_stratified_v2,42,799,True,3103,1,DWS,Mkomazi,-29.74369,29.90494,1727.4527423541078,facc_q0,195932.62136980367,dist_q1,85.94466129846114,85.94466129846114,dense_coverage_spatial_holdout,1,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553600084,1160777,1255,125536,calibration,1,True,basin_stratified_v2,42,744,True,814,1,GRDC,Mzimvubu River,-31.39583,29.265,22050.7939,facc_q3,70739.64641460343,dist_q0,42.95776315427283,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553600204,T3H006,1255,125536,calibration,1,True,basin_stratified_v2,42,850,True,3080,1,DWS,Tsitsa River,-31.23805,28.85222,4284.57450635174,facc_q1,185574.30337150962,dist_q1,23.13886128505241,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553600404,T3H007,1255,125536,calibration,1,True,basin_stratified_v2,42,669,True,3085,1,DWS,Mzimvubu River,-30.86013,29.07125,7111.755129789864,facc_q2,252252.2184308527,dist_q2,26.10691244437937,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553600554,T3H005,1255,125536,calibration,1,True,basin_stratified_v2,42,720,True,3078,1,DWS,Tina River,-31.0318,28.8845,2603.979814437834,facc_q0,223459.29844735243,dist_q2,23.13886128505241,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553800204,T1H014,1255,125538,calibration,1,True,basin_stratified_v2,42,546,True,3068,1,DWS,Mbashe River,-31.851,28.39269,6474.5413,facc_q1,175419.7023884123,dist_q1,8.023172462802123,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12553800321,T1H013,1255,125538,calibration,1,True,basin_stratified_v2,42,973,True,3066,1,DWS,Mbashe River,-31.79966,28.33302,4638.9765625,facc_q1,194683.53358220862,dist_q1,8.023172462802123,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12554000071,S7H004,1255,125540,validation,1,True,basin_stratified_v2,42,973,True,3062,1,DWS,Kei,-32.51638,28.01805,19300.3857,facc_q3,74972.12297922395,dist_q1,55.62262946439382,55.62262946439382,dense_coverage_spatial_holdout,5,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12554000394,S5H002,1255,125540,calibration,1,True,basin_stratified_v2,42,745,True,3057,1,DWS,Tsomo,-32.0443,27.82238,2626.8980036639923,facc_q0,204043.467254344,dist_q1,55.340824310629195,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12556100061,Q9H018,1255,125561,validation,1,True,basin_stratified_v2,42,967,True,3004,1,DWS,Great Fish River,-33.2378,26.99486,26312.20109667605,facc_q3,45372.31850697228,dist_q0,53.47784245147787,53.47784245147787,dense_coverage_spatial_holdout,3,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12556300061,1160510,1255,125563,calibration,1,True,basin_stratified_v2,42,753,True,443,1,GRDC,Great Fish River,-33.09833,26.445,23134.993652912577,facc_q3,235490.36704334,dist_q2,52.05454860649034,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12556500021,1160533,1255,125565,calibration,1,True,basin_stratified_v2,42,690,True,536,1,GRDC,Great Fish River,-33.02708,25.89292,21089.715151030443,facc_q3,359090.5667400849,dist_q3,52.05454860649034,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12556500294,Q5L003,1255,125565,calibration,1,True,basin_stratified_v2,42,926,True,2998,1,DWS,Great Fish River,-32.3365,25.72186,17927.005319330478,facc_q2,530626.4379744352,dist_q3,31.13317613644792,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12556700174,1160528,1255,125567,calibration,1,True,basin_stratified_v2,42,256,True,501,1,GRDC,Great Fish River,-32.08542,25.57542,10561.82946761345,facc_q2,574717.9495220658,dist_q3,31.13317613644792,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12590000121,H7H006,1259,125900,calibration,1,True,basin_stratified_v2,42,1003,True,2780,1,DWS,Breede River,-34.0675,20.40555,10320.5834,facc_q2,115504.59834275182,dist_q0,24.108654404260704,,deterministic_leave_one_out,,2,1,1,0.6587141188379971,0.10407010924215847,True,False,pre_fit_structural_only,True,calibration_gages_lt_3;calibration_regions_lt_2,sparse_gage,gage_or_correlation_with_strong_bias_prior,reach_id_v17b
12590000231,H4H017,1259,125900,validation,1,True,basin_stratified_v2,42,989,True,2744,1,DWS,Breede River,-33.81805,19.69333,5644.598046875,facc_q1,221235.04383617354,dist_q2,50.69980372688406,50.69980372688406,deterministic_leave_one_out,1,2,1,1,0.6587141188379971,0.10407010924215847,True,False,pre_fit_structural_only,True,calibration_gages_lt_3;calibration_regions_lt_2,sparse_gage,gage_or_correlation_with_strong_bias_prior,reach_id_v17b
12590000294,H6H009,1259,125900,calibration,1,True,basin_stratified_v2,42,973,True,2753,1,DWS,Sonderend River,-34.07888,20.14416,1976.2568832515747,facc_q0,141507.2672651943,dist_q1,24.108654404260704,,deterministic_leave_one_out,,2,1,1,0.6587141188379971,0.10407010924215847,True,False,pre_fit_structural_only,True,calibration_gages_lt_3;calibration_regions_lt_2,sparse_gage,gage_or_correlation_with_strong_bias_prior,reach_id_v17b
12602000211,G1H013,1260,126020,calibration,1,False,basin_stratified_v2,42,881,True,2594,1,DWS,Berg River,-33.13083,18.86277,3935.994384765625,facc_q0,143441.8303401089,dist_q0,,,single_gage_no_independent_validation,,1,0,1,0.0,0.0,False,False,pre_fit_structural_only,True,calibration_gages_lt_3;calibration_regions_lt_2,single_gage,gage_constrained_bias_exploratory_or_hierarchical,reach_id_v17b
12710000154,D8H015,1271,127100,calibration,1,False,basin_stratified_v2,42,494,True,2559,1,DWS,Orange River,-28.07583,16.89833,1451597.3441,facc_q0,117540.32584201565,dist_q0,,,single_gage_no_independent_validation,,1,0,1,0.0,0.0,False,False,pre_fit_structural_only,True,calibration_gages_lt_3;calibration_regions_lt_2,single_gage,gage_constrained_bias_exploratory_or_hierarchical,reach_id_v17b
12730300061,D8H009,1273,127303,calibration,1,True,basin_stratified_v2,42,690,True,2549,1,DWS,Orange River,-28.76507,17.6266,1448395.4802,facc_q3,296072.942159611,dist_q0,9.29283630119424,,dense_coverage_spatial_holdout,,4,1,2,0.9015561742174709,0.4647164008803221,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12730300081,D8H003,1273,127303,calibration,1,True,basin_stratified_v2,42,935,True,2536,1,DWS,Orange River,-28.75798,17.72159,1353430.4408,facc_q2,308957.59766001377,dist_q0,9.29283630119424,,dense_coverage_spatial_holdout,,4,1,2,0.9015561742174709,0.4647164008803221,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12730700061,D8H008,1273,127307,calibration,1,True,basin_stratified_v2,42,933,True,2543,1,DWS,Orange River,-28.9634,19.15192,966705.2909,facc_q1,469468.7297513749,dist_q1,29.388774696436872,,dense_coverage_spatial_holdout,,4,1,2,0.9015561742174709,0.4647164008803221,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
