v17_reach_id,v16_reach_id,reach_id
72570200033,72570200083,72570200083
72570500023,72570500093,72570500093
72570500033,72570500103,72570500103
72570500043,72570500113,72570500113
72570500053,72570500123,72570500123
72570500063,72570500133,72570500133
72570500073,72570500143,72570500143
72570700013,72570700153,72570700153
72570700023,72570700013,72570700013
72570700033,72570700023,72570700023
72570700053,72570700053,72570700053
72570700043,72570700063,72570700063
72570800013,72570800073,72570800073
72570900023,72570900083,72570900083
72570900013,72570900093,72570900093
72570900033,72570900013,72570900013
72570900043,72570900023,72570900023
72570900053,72570900033,72570900033
72581000013,72581000013,72581000013
72581000023,72581000023,72581000023
72581000033,72581000033,72581000033
72581000043,72581000043,72581000043
72581000053,72581000053,72581000053
72581000063,72581000063,72581000063
72581000073,72581000073,72581000073
72581000083,72581000083,72581000083
72581000093,72581000093,72581000093
72581000103,72581000103,72581000103
72581000113,72581000113,72581000113
72581000123,72581000123,72581000123
72581000133,72581000133,72581000133
72581000143,72581000143,72581000143
72581000153,72581000153,72581000153
72581000163,72581000163,72581000163
72581000173,72581000173,72581000173
72581000203,72581000183,72581000183
72581000213,72581000193,72581000193
72581000223,72581000203,72581000203
72581000231,72581000211,72581000211
72581000244,72581000224,72581000224
72581000254,72581000234,72581000234
72581000261,72581000241,72581000241
72581000271,72581000251,72581000251
72581000183,72581000263,72581000263
72581000193,72581000273,72581000273
72582100013,72582100283,72582100283
72583100013,72583100293,72583100293
72583100023,72583100303,72583100303
72581000286,72581000316,72581000316
72582200223,72582200013,72582200013
72582200231,72582200021,72582200021
72582200033,72582200033,72582200033
72582200043,72582200043,72582200043
72582200051,72582200051,72582200051
72582200061,72582200061,72582200061
72582200074,72582200074,72582200074
72582200081,72582200081,72582200081
72582200094,72582200094,72582200094
72582200104,72582200104,72582200104
72582200111,72582200111,72582200111
72582200124,72582200124,72582200124
72582200131,72582200131,72582200131
72582200141,72582200141,72582200141
72582200154,72582200154,72582200154
72582200161,72582200161,72582200161
72582200174,72582200174,72582200174
72582200181,72582200181,72582200181
72582200191,72582200191,72582200191
72582200201,72582200201,72582200201
72582200246,72582200216,72582200216
72582200216,72582200226,72582200226
72582300013,72582300013,72582300013
72582200023,72582200023,72582200023
72582200013,72582200233,72582200233
72582100023,72582100043,72582100043
72583100123,72583100313,72583100313
72582300073,72582300063,72582300063
72582300063,72582300073,72582300073
72582300053,72582300083,72582300083
72582300043,72582300093,72582300093
72582300033,72582300103,72582300103
72582300023,72582300113,72582300113
72582300083,72582300123,72582300123
72582400013,72582400013,72582400013
72582400021,72582400021,72582400021
72582400034,72582400034,72582400034
72582400044,72582400044,72582400044
72582400054,72582400054,72582400054
72582400061,72582400061,72582400061
72582400071,72582400071,72582400071
72582400084,72582400084,72582400084
72582400091,72582400091,72582400091
72582400101,72582400101,72582400101
72582400111,72582400111,72582400111
72582400121,72582400121,72582400121
72582400131,72582400131,72582400131
72582400144,72582400144,72582400144
72582400151,72582400151,72582400151
72582400164,72582400164,72582400164
72582400173,72582400173,72582400173
72582400181,72582400181,72582400181
72582400193,72582400193,72582400193
72582400201,72582400201,72582400201
72582400211,72582400211,72582400211
72582400221,72582400221,72582400221
72582400231,72582400231,72582400231
72582400241,72582400241,72582400241
72582400251,72582400251,72582400251
72582400264,72582400264,72582400264
72582400271,72582400271,72582400271
72582400284,72582400284,72582400284
72582400291,72582400291,72582400291
72582400304,72582400304,72582400304
72582400311,72582400311,72582400311
72582400324,72582400324,72582400324
72582400341,72582400331,72582400331
72582400354,72582400344,72582400344
72582400363,72582400353,72582400353
72582400371,72582400361,72582400361
72582400533,72582400373,72582400373
72582400541,72582400381,72582400381
72582400554,72582400394,72582400394
72582400563,72582400403,72582400403
72582400571,72582400411,72582400411
72582400331,72582400421,72582400421
72582400691,72582400431,72582400431
72582400384,72582400454,72582400454
72582400391,72582400461,72582400461
72582400404,72582400474,72582400474
72582400411,72582400481,72582400481
72582400423,72582400493,72582400493
72582400431,72582400501,72582400501
72582400444,72582400514,72582400514
72582400451,72582400521,72582400521
72582400463,72582400533,72582400533
72582400471,72582400541,72582400541
72582400484,72582400554,72582400554
72582400491,72582400561,72582400561
72582400501,72582400571,72582400571
72582400511,72582400581,72582400581
72582400583,72582400593,72582400593
72582400591,72582400601,72582400601
72582400604,72582400614,72582400614
72582400611,72582400621,72582400621
72582400624,72582400634,72582400634
72582400633,72582400643,72582400643
72582400643,72582400653,72582400653
72582400651,72582400661,72582400661
72582400661,72582400671,72582400671
72582400673,72582400683,72582400683
72582400706,72582400696,72582400696
72582400526,72582400706,72582400706
72582400686,72582400716,72582400716
72582500013,72582500013,72582500013
72582500023,72582500023,72582500023
72582600013,72582600013,72582600013
72582600021,72582600021,72582600021
72582600034,72582600034,72582600034
72582600041,72582600041,72582600041
72582600054,72582600054,72582600054
72582600061,72582600061,72582600061
72582600071,72582600071,72582600071
72582600081,72582600081,72582600081
72582600094,72582600094,72582600094
72582600103,72582600103,72582600103
72582600111,72582600111,72582600111
72582600124,72582600124,72582600124
72582600131,72582600131,72582600131
72582600144,72582600144,72582600144
72582600153,72582600153,72582600153
72582600161,72582600161,72582600161
72582600174,72582600174,72582600174
72582600183,72582600183,72582600183
72582700013,72582700013,72582700013
72582700023,72582700023,72582700023
72582700033,72582700033,72582700033
72582700043,72582700043,72582700043
72582700493,72582700053,72582700053
72582700501,72582700061,72582700061
72582700511,72582700071,72582700071
72582700524,72582700084,72582700084
72582700061,72582700091,72582700091
72582700053,72582700103,72582700103
72582700071,72582700111,72582700111
72582700084,72582700124,72582700124
72582700091,72582700131,72582700131
72582700104,72582700144,72582700144
72582700111,72582700151,72582700151
72582700601,72582700161,72582700161
72582700453,72582700173,72582700173
72582700463,72582700183,72582700183
72582700471,72582700191,72582700191
72582700124,72582700204,72582700204
72582700131,72582700211,72582700211
72582700144,72582700224,72582700224
72582700154,72582700234,72582700234
72582700164,72582700244,72582700244
72582700174,72582700254,72582700254
72582700184,72582700264,72582700264
72582700194,72582700274,72582700274
72582700201,72582700281,72582700281
72582700214,72582700294,72582700294
72582700224,72582700304,72582700304
72582700234,72582700314,72582700314
72582700244,72582700324,72582700324
72582700251,72582700331,72582700331
72582700264,72582700344,72582700344
72582700271,72582700351,72582700351
72582700284,72582700364,72582700364
72582700294,72582700374,72582700374
72582700304,72582700384,72582700384
72582700314,72582700394,72582700394
72582700324,72582700404,72582700404
72582700331,72582700411,72582700411
72582700343,72582700423,72582700423
72582700533,72582700433,72582700433
72582700541,72582700441,72582700441
72582700554,72582700454,72582700454
72582700564,72582700464,72582700464
72582700571,72582700471,72582700471
72582700581,72582700481,72582700481
72582700354,72582700494,72582700494
72582700364,72582700504,72582700504
72582700616,72582700516,72582700516
72582700443,72582700526,72582700526
72582700486,72582700536,72582700536
72582700596,72582700546,72582700546
72582800051,72582800011,72582800011
72582800061,72582800021,72582800021
72582800071,72582800031,72582800031
72582800084,72582800044,72582800044
72582800091,72582800051,72582800051
72582800103,72582800063,72582800063
72582800111,72582800071,72582800071
72582800124,72582800084,72582800084
72582800133,72582800093,72582800093
72582800141,72582800101,72582800101
72582800041,72582800116,72582800116
72582800156,72582800126,72582800126
